Категорія,Назва товару,Кількість,Очікувана Ціна (Гурт),Призначення
Шерсть (Coat Care),Шампунь для білої шерсті (напр. TropiClean/Nature's Protection White),1 шт,~350 грн,Прибирає жовтизну без пересушування 
Шерсть (Coat Care),Спрей для легкого розчісування (Detangler),1 шт,~250 грн,Дозволяє легко вичісувати підшерстя літньої собаки
Шерсть (Coat Care),Пуходерка з м'якими захисними кульками,1 шт,~250 грн,Безпечне вичісування стоншеної шкіри
Гігієна і ПМП (Hygiene),Вологі серветки-рукавички (Bath Glove),2 уп,~300 грн,Миття собаки без води (критично біля швів)
Гігієна і ПМП (Hygiene),Захисний віск для лап (Paw Wax),1 шт,~250 грн,Щоб лапи не роз'їжджалися на плитці
Гігієна і ПМП (Hygiene),Лосьйон для чищення вух (Ear Cleaner),1 шт,~200 грн,Профілактика для вікових собак
Комфорт Senior (Mobility),Легені яловичі сушені (1 кг),2 уп,~1300 грн,0% жиру - ідеальне заохочення при схудненні
Комфорт Senior (Mobility),Трахея яловича (0.5 кг),2 уп,~800 грн,Природний глюкозамін для суглобів
Комфорт Senior (Mobility),Масло лосося (500 мл),1 шт,~450 грн,Підтримка серця (ЕХО) та загоєння шкіри
Реабілітація (Recovery),Lick Mat (Силіконовий килимок для вилизування),1 шт,~400 грн,Заспокоює та дає ментальне навантаження
Реабілітація (Recovery),Вітаміни VMP / Senior Complex,1 уп,~400 грн,Відновлення після загального наркозу
Реабілітація (Recovery),М'які дента-палички (Senior Denta Stix),1 уп,~350 грн,Догляд за зубами 10-річної собаки без шкоди для ясен
